;Predicted_Altersklasse
0;20-29
1;20-29
2;20-29
3;20-29
4;30-39
5;20-29
6;20-29
7;20-29
8;40-49
9;30-39
10;20-29
11;20-29
12;20-29
13;30-39
14;30-39
15;20-29
16;20-29
17;20-29
18;20-29
19;60-69
20;20-29
21;30-39
22;20-29
23;20-29
24;20-29
25;50-59
26;20-29
27;20-29
28;60-69
29;20-29
30;20-29
31;30-39
32;20-29
33;20-29
34;20-29
35;40-49
36;20-29
37;50-59
38;20-29
39;20-29
40;40-49
41;30-39
42;20-29
43;20-29
44;30-39
45;20-29
46;20-29
47;20-29
48;30-39
49;20-29
50;20-29
51;20-29
52;30-39
53;20-29
54;20-29
55;30-39
56;20-29
57;30-39
58;30-39
59;30-39
60;20-29
61;60-69
62;20-29
63;30-39
64;20-29
65;20-29
66;20-29
67;20-29
68;20-29
69;20-29
70;20-29
71;30-39
72;60-69
73;20-29
74;20-29
75;20-29
76;20-29
77;20-29
78;60-69
79;60-69
80;20-29
81;20-29
82;30-39
83;20-29
84;20-29
85;20-29
86;20-29
87;20-29
88;30-39
89;20-29
90;20-29
91;20-29
92;20-29
93;20-29
94;20-29
95;20-29
96;20-29
97;20-29
98;20-29
99;20-29
100;30-39
101;30-39
102;20-29
103;20-29
104;30-39
105;20-29
106;30-39
107;50-59
108;20-29
109;50-59
110;20-29
111;20-29
112;30-39
113;20-29
114;20-29
115;30-39
116;20-29
117;20-29
118;20-29
119;20-29
120;20-29
121;20-29
122;30-39
123;30-39
124;20-29
125;20-29
126;20-29
127;20-29
128;20-29
129;30-39
130;20-29
131;20-29
132;20-29
133;30-39
134;20-29
135;20-29
136;30-39
137;20-29
138;20-29
139;20-29
140;20-29
141;20-29
142;30-39
143;20-29
144;30-39
145;20-29
146;20-29
147;20-29
148;30-39
149;20-29
150;20-29
151;20-29
152;20-29
153;20-29
154;20-29
155;20-29
156;20-29
157;20-29
158;30-39
159;20-29
160;20-29
161;20-29
162;20-29
163;20-29
164;20-29
165;20-29
166;20-29
167;20-29
168;30-39
169;30-39
170;30-39
171;20-29
172;20-29
173;40-49
174;20-29
175;20-29
176;20-29
177;20-29
178;20-29
179;20-29
180;50-59
181;20-29
182;20-29
183;60-69
184;20-29
185;20-29
186;20-29
187;20-29
188;20-29
189;20-29
190;20-29
191;20-29
192;20-29
193;20-29
194;20-29
195;20-29
196;30-39
197;20-29
198;20-29
199;20-29
200;20-29
201;20-29
202;30-39
203;20-29
204;20-29
205;20-29
206;20-29
207;20-29
208;60-69
209;20-29
210;20-29
211;20-29
212;30-39
213;20-29
214;20-29
215;30-39
216;20-29
217;20-29
218;20-29
219;20-29
220;30-39
221;20-29
222;30-39
223;20-29
224;20-29
225;60-69
226;20-29
227;20-29
228;20-29
229;20-29
230;20-29
231;20-29
232;60-69
233;60-69
234;20-29
235;20-29
236;20-29
237;20-29
238;20-29
239;20-29
240;30-39
241;20-29
242;20-29
243;20-29
244;20-29
245;20-29
246;50-59
247;20-29
248;20-29
249;20-29
250;20-29
251;20-29
252;30-39
253;20-29
254;50-59
255;30-39
256;20-29
257;20-29
258;20-29
259;20-29
260;50-59
261;30-39
262;20-29
263;20-29
264;20-29
265;20-29
266;20-29
267;60-69
268;20-29
269;50-59
270;20-29
271;20-29
272;30-39
273;30-39
274;20-29
275;20-29
276;20-29
277;20-29
278;30-39
279;20-29
280;30-39
281;20-29
282;20-29
283;20-29
284;20-29
285;20-29
286;20-29
287;20-29
288;30-39
289;20-29
290;20-29
291;20-29
292;20-29
293;20-29
294;20-29
295;20-29
296;20-29
297;20-29
298;20-29
299;20-29
300;20-29
301;20-29
302;30-39
303;20-29
304;20-29
305;20-29
306;20-29
307;30-39
308;20-29
309;20-29
310;20-29
311;30-39
312;20-29
313;20-29
314;20-29
315;20-29
316;20-29
317;30-39
318;50-59
319;20-29
320;20-29
321;20-29
322;20-29
323;20-29
324;30-39
325;30-39
326;20-29
327;20-29
328;60-69
329;20-29
330;30-39
331;20-29
332;20-29
